SampDate,SampTime,SampleMethod,ForkLength,TagCode,RaceByTag
"1993-04-11","12:00:00.0000000",2,52,"0601140306","Fall"
"1993-04-12","00:00:00.0000000",2,63,"0601140306","Fall"
"1993-04-12","06:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-12","08:00:00.0000000",2,66,"0601140306","Fall"
"1993-04-12","22:00:00.0000000",2,49,"0601140306","Fall"
"1993-04-12","22:00:00.0000000",2,57,"0601140306","Fall"
"1993-04-12","22:00:00.0000000",2,61,"0601140306","Fall"
"1993-04-12","22:00:00.0000000",2,62,"0601140306","Fall"
"1993-04-12","22:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-12","22:00:00.0000000",2,72,"0601120104","Spring"
"1993-04-13","00:00:00.0000000",2,57,"0601140306","Fall"
"1993-04-13","10:00:00.0000000",2,245,"064651","Fall"
"1993-04-13","13:30:00.0000000",2,223,"064651","Fall"
"1993-04-13","14:00:00.0000000",2,76,"0601140306","Fall"
"1993-04-13","18:00:00.0000000",2,63,"0601140306","Fall"
"1993-04-14","00:00:00.0000000",2,60,"0601140306","Fall"
"1993-04-14","00:00:00.0000000",2,67,"0601140306","Fall"
"1993-04-14","22:00:00.0000000",2,59,"0601140306","Fall"
"1993-04-14","22:00:00.0000000",2,67,"0601140306","Fall"
"1993-04-15","00:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-15","00:00:00.0000000",2,58,"0601140306","Fall"
"1993-04-15","00:00:00.0000000",2,62,"0601140306","Fall"
"1993-04-15","00:00:00.0000000",2,64,"0601140306","Fall"
"1993-04-15","04:00:00.0000000",2,70,"0601140306","Fall"
"1993-04-15","06:00:00.0000000",2,64,"0601140308","Fall"
"1993-04-15","08:00:00.0000000",2,57,"0601140306","Fall"
"1993-04-15","12:00:00.0000000",2,63,"0601140306","Fall"
"1993-04-16","02:00:00.0000000",2,62,"0601140308","Fall"
"1993-04-16","02:00:00.0000000",2,64,"0601140308","Fall"
"1993-04-16","02:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-16","02:00:00.0000000",2,70,"0601140308","Fall"
"1993-04-16","04:00:00.0000000",2,60,"0601140306","Fall"
"1993-04-16","04:00:00.0000000",2,61,"0601140308","Fall"
"1993-04-16","04:00:00.0000000",2,65,"0601140308","Fall"
"1993-04-16","06:00:00.0000000",2,70,"0601140308","Fall"
"1993-04-16","12:00:00.0000000",2,63,"0601140308","Fall"
"1993-04-16","14:00:00.0000000",2,65,"0601140308","Fall"
"1993-04-16","18:00:00.0000000",2,58,"0601140308","Fall"
"1993-04-16","18:00:00.0000000",2,63,"0601140308","Fall"
"1993-04-16","22:00:00.0000000",2,62,"0601140308","Fall"
"1993-04-17","00:00:00.0000000",2,63,"0601140306","Fall"
"1993-04-17","02:00:00.0000000",2,69,"0601140306","Fall"
"1993-04-17","02:00:00.0000000",2,64,"0601140306","Fall"
"1993-04-17","02:00:00.0000000",2,68,"0601140306","Fall"
"1993-04-17","04:00:00.0000000",2,71,"0601140308","Fall"
"1993-04-17","04:00:00.0000000",2,68,"0601140308","Fall"
"1993-04-17","04:00:00.0000000",2,62,"0601140308","Fall"
"1993-04-17","04:00:00.0000000",2,66,"0601140308","Fall"
"1993-04-17","06:00:00.0000000",2,63,"0601140308","Fall"
"1993-04-17","06:00:00.0000000",2,70,"0601140308","Fall"
"1993-04-17","14:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-17","14:00:00.0000000",2,67,"0601140306","Fall"
"1993-04-17","14:00:00.0000000",2,68,"0601140308","Fall"
"1993-04-17","14:00:00.0000000",2,69,"0601140308","Fall"
"1993-04-17","14:00:00.0000000",2,74,"0601140308","Fall"
"1993-04-17","22:00:00.0000000",2,66,"0601140308","Fall"
"1993-04-17","22:00:00.0000000",2,51,"0601140306","Fall"
"1993-04-18","02:00:00.0000000",2,71,"0601140306","Fall"
"1993-04-18","02:00:00.0000000",2,58,"0601140306","Fall"
"1993-04-18","02:00:00.0000000",2,61,"0601140308","Fall"
"1993-04-18","02:00:00.0000000",2,63,"0601140306","Fall"
"1993-04-18","02:00:00.0000000",2,64,"0601140306","Fall"
"1993-04-18","02:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-18","02:00:00.0000000",2,69,"0601140306","Fall"
"1993-04-18","04:00:00.0000000",2,62,"0601140308","Fall"
"1993-04-18","04:00:00.0000000",2,64,"0601140308","Fall"
"1993-04-18","04:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-18","04:00:00.0000000",2,68,"0601140308","Fall"
"1993-04-18","04:00:00.0000000",2,69,"0601140308","Fall"
"1993-04-18","04:00:00.0000000",2,58,"0601140308","Fall"
"1993-04-18","06:00:00.0000000",2,68,"0601140308","Fall"
"1993-04-18","08:00:00.0000000",2,70,"0601140308","Fall"
"1993-04-18","21:00:00.0000000",2,67,"0601140308","Fall"
"1993-04-19","00:00:00.0000000",2,70,"0601140308","Fall"
"1993-04-19","02:00:00.0000000",2,60,"0601140306","Fall"
"1993-04-19","02:00:00.0000000",2,63,"0601140308","Fall"
"1993-04-19","02:00:00.0000000",2,66,"0601140306","Fall"
"1993-04-19","04:00:00.0000000",2,70,"0601140306","Fall"
"1993-04-19","04:00:00.0000000",2,70,"0601140308","Fall"
"1993-04-19","04:00:00.0000000",2,68,"0601140308","Fall"
"1993-04-19","04:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-19","06:00:00.0000000",2,69,"0601140306","Fall"
"1993-04-19","09:00:00.0000000",2,62,"0601140308","Fall"
"1993-04-19","09:00:00.0000000",2,76,"0601140308","Fall"
"1993-04-19","17:00:00.0000000",2,63,"0601140306","Fall"
"1993-04-19","20:00:00.0000000",2,60,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,70,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,66,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,71,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,65,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,61,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,59,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,58,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,62,"0601140308","Fall"
"1993-04-19","20:00:00.0000000",2,64,"0601140308","Fall"
"1993-04-20","02:00:00.0000000",2,62,"0601140306","Fall"
"1993-04-20","02:00:00.0000000",2,66,"0601140306","Fall"
"1993-04-20","02:00:00.0000000",2,67,"0601140306","Fall"
"1993-04-20","04:00:00.0000000",2,74,"0601140308","Fall"
"1993-04-20","06:00:00.0000000",2,72,"0601140308","Fall"
"1993-04-21","02:00:00.0000000",2,72,"0601140308","Fall"
"1993-04-21","04:00:00.0000000",2,68,"0601140306","Fall"
"1993-04-24","06:00:00.0000000",2,70,"0601140308","Fall"
"1993-04-25","16:00:00.0000000",2,72,"0601140306","Fall"
"1993-04-25","22:00:00.0000000",2,75,"0601141102","Fall"
"1993-04-26","02:00:00.0000000",2,69,"0601140306","Fall"
"1993-04-26","06:00:00.0000000",2,68,"0601140306","Fall"
"1993-04-27","22:00:00.0000000",2,73,"0601140306","Fall"
"1993-04-28","06:00:00.0000000",2,70,"0601140306","Fall"
"1993-04-29","00:00:00.0000000",2,72,"0601140312","Fall"
"1993-04-29","00:00:00.0000000",2,79,"0601140312","Fall"
"1993-04-29","00:00:00.0000000",2,73,"0601140312","Fall"
"1993-04-29","00:00:00.0000000",2,74,"0601140312","Fall"
"1993-04-29","00:00:00.0000000",2,71,"0601140312","Fall"
"1993-04-29","00:00:00.0000000",2,70,"0601140312","Fall"
"1993-04-29","00:00:00.0000000",2,69,"0601140312","Fall"
"1993-04-29","00:00:00.0000000",2,67,"0601140312","Fall"
"1993-04-29","00:00:00.0000000",2,72,"0601140306","Fall"
"1993-04-29","00:00:00.0000000",2,76,"0601140312","Fall"
"1993-04-29","08:00:00.0000000",2,77,"0601140306","Fall"
"1993-04-30","02:00:00.0000000",2,78,"0601140312","Fall"
"1993-04-30","02:00:00.0000000",2,67,"0601140312","Fall"
"1993-04-30","02:00:00.0000000",2,74,"0601140312","Fall"
"1993-04-30","04:00:00.0000000",2,76,"0601140312","Fall"
"1993-04-30","04:00:00.0000000",2,69,"0601140312","Fall"
"1993-04-30","04:00:00.0000000",2,70,"0601140312","Fall"
"1993-05-01","02:00:00.0000000",2,76,"0601140312","Fall"
"1993-05-01","04:00:00.0000000",2,70,"0601140312","Fall"
"1993-05-01","06:00:00.0000000",2,72,"0601140312","Fall"
"1993-05-01","06:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-01","20:00:00.0000000",2,79,"0601140312","Fall"
"1993-05-02","04:00:00.0000000",2,70,"0601140312","Fall"
"1993-05-02","06:00:00.0000000",2,64,"0601140312","Fall"
"1993-05-02","18:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-02","22:00:00.0000000",2,79,"0601140312","Fall"
"1993-05-02","22:00:00.0000000",2,72,"0601140312","Fall"
"1993-05-03","02:00:00.0000000",2,70,"0601140312","Fall"
"1993-05-03","04:00:00.0000000",2,68,"0601140312","Fall"
"1993-05-03","04:00:00.0000000",2,71,"0601140312","Fall"
"1993-05-03","14:00:00.0000000",2,75,"0601140312","Fall"
"1993-05-03","16:00:00.0000000",2,77,"0601140306","Fall"
"1993-05-04","02:00:00.0000000",2,67,"0601140312","Fall"
"1993-05-04","06:00:00.0000000",2,77,"0601140312","Fall"
"1993-05-04","08:00:00.0000000",2,77,"0601140312","Fall"
"1993-05-04","10:00:00.0000000",2,71,"0601140312","Fall"
"1993-05-04","10:00:00.0000000",2,74,"0601140312","Fall"
"1993-05-04","14:00:00.0000000",2,80,"0601140312","Fall"
"1993-05-04","22:00:00.0000000",2,79,"0601140312","Fall"
"1993-05-05","04:00:00.0000000",2,69,"0601140312","Fall"
"1993-05-05","04:00:00.0000000",2,71,"0601140312","Fall"
"1993-05-05","04:00:00.0000000",2,72,"0601140312","Fall"
"1993-05-05","04:00:00.0000000",2,74,"0601140312","Fall"
"1993-05-05","06:00:00.0000000",2,65,"0601140312","Fall"
"1993-05-05","06:00:00.0000000",2,68,"0601140312","Fall"
"1993-05-06","02:00:00.0000000",2,74,"063135","Fall"
"1993-05-06","04:00:00.0000000",2,75,"063135","Fall"
"1993-05-06","04:00:00.0000000",2,76,"063135","Fall"
"1993-05-06","04:00:00.0000000",2,77,"063135","Fall"
"1993-05-06","04:00:00.0000000",2,79,"063135","Fall"
"1993-05-06","06:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-06","16:00:00.0000000",2,75,"0601140312","Fall"
"1993-05-06","18:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-06","22:00:00.0000000",2,80,"063135","Fall"
"1993-05-06","22:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-06","22:00:00.0000000",2,73,"063135","Fall"
"1993-05-07","00:00:00.0000000",2,78,"063135","Fall"
"1993-05-07","04:00:00.0000000",2,83,"063135","Fall"
"1993-05-07","04:00:00.0000000",2,70,"0601140312","Fall"
"1993-05-07","06:00:00.0000000",2,71,"0601140312","Fall"
"1993-05-07","06:00:00.0000000",2,75,"063135","Fall"
"1993-05-07","06:00:00.0000000",2,77,"063135","Fall"
"1993-05-07","06:00:00.0000000",2,78,"063135","Fall"
"1993-05-07","06:00:00.0000000",2,79,"063135","Fall"
"1993-05-07","06:00:00.0000000",2,85,"063135","Fall"
"1993-05-07","08:00:00.0000000",2,76,"0601140312","Fall"
"1993-05-07","10:00:00.0000000",2,75,"0601140312","Fall"
"1993-05-07","10:00:00.0000000",2,75,"063135","Fall"
"1993-05-07","18:00:00.0000000",2,75,"063135","Fall"
"1993-05-07","18:00:00.0000000",2,83,"0601140306","Fall"
"1993-05-07","22:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-07","22:00:00.0000000",2,74,"063135","Fall"
"1993-05-07","22:00:00.0000000",2,70,"063135","Fall"
"1993-05-07","22:00:00.0000000",2,65,"063135","Fall"
"1993-05-07","22:00:00.0000000",2,65,"0601140312","Fall"
"1993-05-08","02:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-08","02:00:00.0000000",2,74,"063135","Fall"
"1993-05-08","02:00:00.0000000",2,76,"0601140312","Fall"
"1993-05-08","02:00:00.0000000",2,71,"0601140312","Fall"
"1993-05-08","04:00:00.0000000",2,74,"063135","Fall"
"1993-05-08","04:00:00.0000000",2,78,"063135","Fall"
"1993-05-08","04:00:00.0000000",2,80,"063135","Fall"
"1993-05-08","06:00:00.0000000",2,75,"063135","Fall"
"1993-05-08","06:00:00.0000000",2,82,"063135","Fall"
"1993-05-08","06:00:00.0000000",2,78,"063135","Fall"
"1993-05-08","06:00:00.0000000",2,77,"063135","Fall"
"1993-05-08","06:00:00.0000000",2,74,"063135","Fall"
"1993-05-08","06:00:00.0000000",2,73,"063135","Fall"
"1993-05-08","06:00:00.0000000",2,76,"0601140312","Fall"
"1993-05-08","08:00:00.0000000",2,66,"0601140312","Fall"
"1993-05-08","10:00:00.0000000",2,90,"0601140308","Fall"
"1993-05-08","18:00:00.0000000",2,78,"063135","Fall"
"1993-05-08","22:00:00.0000000",2,66,"063135","Fall"
"1993-05-09","00:00:00.0000000",2,72,"063135","Fall"
"1993-05-09","00:00:00.0000000",2,75,"063135","Fall"
"1993-05-09","02:00:00.0000000",2,72,"063135","Fall"
"1993-05-10","00:00:00.0000000",2,77,"0601140312","Fall"
"1993-05-10","16:00:00.0000000",2,78,"063135","Fall"
"1993-05-10","20:00:00.0000000",2,69,"063135","Fall"
"1993-05-10","20:00:00.0000000",2,72,"0601140312","Fall"
"1993-05-10","20:00:00.0000000",2,74,"0601140312","Fall"
"1993-05-10","20:00:00.0000000",2,75,"0601140312","Fall"
"1993-05-10","20:00:00.0000000",2,75,"063135","Fall"
"1993-05-10","22:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-11","00:00:00.0000000",2,69,"063135","Fall"
"1993-05-11","02:00:00.0000000",2,85,"0601140306","Fall"
"1993-05-11","20:00:00.0000000",2,75,"0601140312","Fall"
"1993-05-11","22:00:00.0000000",2,70,"063135","Fall"
"1993-05-11","22:00:00.0000000",2,79,"063135","Fall"
"1993-05-12","00:00:00.0000000",2,81,"063135","Fall"
"1993-05-12","06:00:00.0000000",2,73,"0601140312","Fall"
"1993-05-12","13:00:00.0000000",2,78,"0601140312","Fall"
"1993-05-12","22:00:00.0000000",2,80,"063135","Fall"
"1993-05-12","22:00:00.0000000",2,82,"063135","Fall"
"1993-05-13","00:00:00.0000000",2,79,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,84,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,83,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,87,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,80,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,76,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,75,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,74,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,73,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,70,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,78,"063138","Fall"
"1993-05-13","00:00:00.0000000",2,82,"063138","Fall"
"1993-05-13","12:00:00.0000000",2,76,"063135","Fall"
"1993-05-13","13:00:00.0000000",2,65,"063135","Fall"
"1993-05-13","22:00:00.0000000",2,86,"0601140312","Fall"
"1993-05-13","22:00:00.0000000",2,84,"0601140312","Fall"
"1993-05-13","22:00:00.0000000",2,81,"0601141103","Fall"
"1993-05-13","22:00:00.0000000",2,77,"063135","Fall"
"1993-05-13","22:00:00.0000000",2,76,"063135","Fall"
"1993-05-13","22:00:00.0000000",2,72,"0601140312","Fall"
"1993-05-13","22:00:00.0000000",2,74,"063135","Fall"
"1993-05-14","00:00:00.0000000",2,71,"063135","Fall"
"1993-05-14","00:00:00.0000000",2,78,"0601140312","Fall"
"1993-05-14","02:00:00.0000000",2,80,"063138","Fall"
"1993-05-14","02:00:00.0000000",2,82,"063138","Fall"
"1993-05-14","02:00:00.0000000",2,84,"063138","Fall"
"1993-05-14","02:00:00.0000000",2,81,"063138","Fall"
"1993-05-14","02:00:00.0000000",2,79,"063135","Fall"
"1993-05-14","02:00:00.0000000",2,76,"063138","Fall"
"1993-05-14","02:00:00.0000000",2,74,"063138","Fall"
"1993-05-14","02:00:00.0000000",2,79,"063138","Fall"
"1993-05-14","04:00:00.0000000",2,83,"063138","Fall"
"1993-05-14","20:00:00.0000000",2,72,"063138","Fall"
"1993-05-14","22:00:00.0000000",2,80,"063138","Fall"
"1993-05-15","00:00:00.0000000",2,83,"063135","Fall"
"1993-05-15","00:00:00.0000000",2,81,"063138","Fall"
"1993-05-15","02:00:00.0000000",2,80,"063138","Fall"
"1993-05-15","02:00:00.0000000",2,79,"063138","Fall"
"1993-05-15","02:00:00.0000000",2,78,"063138","Fall"
"1993-05-15","02:00:00.0000000",2,77,"063138","Fall"
"1993-05-15","02:00:00.0000000",2,77,"063135","Fall"
"1993-05-15","02:00:00.0000000",2,76,"063138","Fall"
"1993-05-15","02:00:00.0000000",2,75,"063138","Fall"
"1993-05-15","02:00:00.0000000",2,73,"063138","Fall"
"1993-05-15","02:00:00.0000000",2,74,"063138","Fall"
"1993-05-15","04:00:00.0000000",2,81,"063135","Fall"
"1993-05-15","04:00:00.0000000",2,80,"063138","Fall"
"1993-05-15","04:00:00.0000000",2,75,"063138","Fall"
"1993-05-15","04:00:00.0000000",2,69,"063138","Fall"
"1993-05-15","04:00:00.0000000",2,77,"063135","Fall"
"1993-05-15","06:00:00.0000000",2,73,"063138","Fall"
"1993-05-15","06:00:00.0000000",2,76,"063138","Fall"
"1993-05-15","06:00:00.0000000",2,77,"063138","Fall"
"1993-05-15","08:00:00.0000000",2,80,"063138","Fall"
"1993-05-15","08:00:00.0000000",2,81,"063138","Fall"
"1993-05-15","10:00:00.0000000",2,72,"0601140312","Fall"
"1993-05-15","12:00:00.0000000",2,82,"063138","Fall"
"1993-05-15","12:00:00.0000000",2,86,"0601140312","Fall"
"1993-05-15","16:00:00.0000000",2,80,"0601140312","Fall"
"1993-05-15","18:00:00.0000000",2,75,"063138","Fall"
"1993-05-15","18:00:00.0000000",2,76,"0601140312","Fall"
"1993-05-15","20:00:00.0000000",2,78,"063138","Fall"
"1993-05-15","22:00:00.0000000",2,72,"063138","Fall"
"1993-05-15","22:00:00.0000000",2,80,"063138","Fall"
"1993-05-16","00:00:00.0000000",2,77,"063135","Fall"
"1993-05-16","00:00:00.0000000",2,82,"0601140312","Fall"
"1993-05-16","04:00:00.0000000",2,75,"063138","Fall"
"1993-05-16","04:00:00.0000000",2,77,"063138","Fall"
"1993-05-16","06:00:00.0000000",2,81,"0601140312","Fall"
"1993-05-16","08:00:00.0000000",2,76,"063138","Fall"
"1993-05-16","12:00:00.0000000",2,79,"063138","Fall"
"1993-05-16","16:00:00.0000000",2,72,"0601140312","Fall"
"1993-05-16","16:00:00.0000000",2,81,"063138","Fall"
"1993-05-16","16:00:00.0000000",2,77,"063138","Fall"
"1993-05-16","16:00:00.0000000",2,73,"063138","Fall"
"1993-05-16","18:00:00.0000000",2,78,"063135","Fall"
"1993-05-16","20:00:00.0000000",2,78,"063138","Fall"
"1993-05-16","20:00:00.0000000",2,89,"0601140310","Fall"
"1993-05-16","22:00:00.0000000",2,82,"063138","Fall"
"1993-05-17","00:00:00.0000000",2,80,"063138","Fall"
"1993-05-17","04:00:00.0000000",2,75,"063138","Fall"
"1993-05-17","04:00:00.0000000",2,80,"063135","Fall"
"1993-05-17","14:00:00.0000000",2,75,"063138","Fall"
"1993-05-17","14:00:00.0000000",2,77,"063138","Fall"
"1993-05-17","18:00:00.0000000",2,77,"063138","Fall"
"1993-05-17","22:00:00.0000000",2,70,"063138","Fall"
"1993-05-18","00:00:00.0000000",2,80,"063138","Fall"
"1993-05-18","02:00:00.0000000",2,76,"063135","Fall"
"1993-05-18","04:00:00.0000000",2,79,"063138","Fall"
"1993-05-18","06:00:00.0000000",2,75,"0601140312","Fall"
"1993-05-18","06:00:00.0000000",2,77,"063138","Fall"
"1993-05-18","14:00:00.0000000",2,79,"063138","Fall"
"1993-05-18","14:00:00.0000000",2,81,"063138","Fall"
"1993-05-18","16:00:00.0000000",2,81,"063138","Fall"
"1993-05-18","16:00:00.0000000",2,78,"063138","Fall"
"1993-05-18","18:00:00.0000000",2,79,"063138","Fall"
"1993-05-18","18:00:00.0000000",2,82,"0601140312","Fall"
"1993-05-18","18:00:00.0000000",2,84,"063135","Fall"
"1993-05-18","18:00:00.0000000",2,86,"063135","Fall"
"1993-05-18","18:00:00.0000000",2,88,"0601140311","Fall"
"1993-05-18","20:00:00.0000000",2,84,"063138","Fall"
"1993-05-18","20:00:00.0000000",2,76,"063138","Fall"
"1993-05-18","20:00:00.0000000",2,80,"063138","Fall"
"1993-05-18","22:00:00.0000000",2,89,"063135","Fall"
"1993-05-18","22:00:00.0000000",2,73,"063138","Fall"
"1993-05-18","22:00:00.0000000",2,79,"063135","Fall"
"1993-05-19","00:00:00.0000000",2,72,"0601140312","Fall"
"1993-05-19","00:00:00.0000000",2,78,"063135","Fall"
"1993-05-19","00:00:00.0000000",2,79,"063138","Fall"
"1993-05-19","00:00:00.0000000",2,80,"063135","Fall"
"1993-05-19","02:00:00.0000000",2,78,"063138","Fall"
"1993-05-19","02:00:00.0000000",2,80,"063138","Fall"
"1993-05-19","02:00:00.0000000",2,81,"063138","Fall"
"1993-05-19","06:00:00.0000000",2,80,"063138","Fall"
"1993-05-19","10:00:00.0000000",2,75,"063138","Fall"
"1993-05-19","12:00:00.0000000",2,72,"063138","Fall"
"1993-05-19","16:00:00.0000000",2,74,"063138","Fall"
"1993-05-19","16:00:00.0000000",2,75,"063138","Fall"
"1993-05-19","16:00:00.0000000",2,78,"063135","Fall"
"1993-05-19","16:00:00.0000000",2,79,"063138","Fall"
"1993-05-19","16:00:00.0000000",2,86,"066342","Fall"
"1993-05-19","18:00:00.0000000",2,77,"063135","Fall"
"1993-05-19","18:00:00.0000000",2,79,"0601140312","Fall"
"1993-05-19","18:00:00.0000000",2,82,"063138","Fall"
"1993-05-19","20:00:00.0000000",2,78,"063138","Fall"
"1993-05-19","22:00:00.0000000",2,78,"063138","Fall"
"1993-05-20","02:00:00.0000000",2,72,"063138","Fall"
"1993-05-20","02:00:00.0000000",2,84,"063138","Fall"
"1993-05-20","08:00:00.0000000",2,84,"063138","Fall"
"1993-05-20","12:00:00.0000000",2,80,"063135","Fall"
"1993-05-20","16:00:00.0000000",2,80,"063138","Fall"
"1993-05-20","18:00:00.0000000",2,81,"063138","Fall"
"1993-05-20","20:00:00.0000000",2,77,"063138","Fall"
"1993-05-21","00:00:00.0000000",2,79,"063138","Fall"
"1993-05-21","02:00:00.0000000",2,75,"063138","Fall"
"1993-05-21","08:00:00.0000000",2,84,"0601140312","Fall"
"1993-05-21","10:00:00.0000000",2,74,"063138","Fall"
"1993-05-21","12:00:00.0000000",2,85,"063135","Fall"
"1993-05-21","12:00:00.0000000",2,80,"063136","Fall"
"1993-05-21","16:00:00.0000000",2,82,"063138","Fall"
"1993-05-21","16:00:00.0000000",2,75,"063135","Fall"
"1993-05-21","16:00:00.0000000",2,74,"063138","Fall"
"1993-05-21","16:00:00.0000000",2,72,"063138","Fall"
"1993-05-21","16:00:00.0000000",2,74,"063135","Fall"
"1993-05-21","18:00:00.0000000",2,75,"063138","Fall"
"1993-05-21","20:00:00.0000000",2,71,"063135","Fall"
